status	path	baseline_sha256	current_sha256
ADDED	SYSTEM_ADMIN_DELIVERY.json		e534f3e3d36f7db2b7e7015363ef9b82d41692e1509aa92ad2323f72ed3559ad
ADDED	SYSTEM_ADMIN_START_HERE.md		5f960ce44db9729fa320974d98eaf3ba978aa4d0311814e7170876f155358f2b
MODIFIED	backend/base/sidebar.py	1d1bb7ddbfb1173e72586ce87d46cbc96c0d0b61bd933b91077260213fd358cd	dca2767f02962cae92d4f7db986d90154bc0d2d77959500ff6122ca758c6a38c
MODIFIED	backend/base/templates/base/auth/permission_table.html	e9de73deb6ee6fcc721f23fb3facfd2f01fa51c49a484633ad5e6bfa70502f26	69d5cc642cf2a03db31686e6b5bcf47e68097926bc13c2261e903b1feb772f1c
ADDED	backend/base/templates/base/settings/system_admin_center.html		ee56a3b1ee95cc8c9972b3ecd9f571313ebbb6d5f41f06c1730d60d17e23fe53
MODIFIED	backend/base/urls.py	264fb953f124426a84f3a70b85c93fde4b26f606a48ea2345dc5d8ad0adaed1a	3dc255a8916b5ce413a4c5680081b63c4c95ab70e9755256e739f60ff59ca0a9
MODIFIED	backend/base/views.py	7ae5443b16fc436f357e9721f7218114d1606b39e1c4a7a84b3bb2781ec778bd	2c436de4c988e372c54e7c632e16a5a64eed676507cdd1d15cc1364c785c32c4
MODIFIED	backend/horilla_theme/templates/base/auth/group_detail.html	4a5191a0174c51491c24fd4c1d73248e6c324527518e3a318cfab8102087e331	ab9d7b66ac961a89c3c5fb326b13a5c227276e47517dda536cc3cc22593adb82
MODIFIED	backend/horilla_theme/templates/settings.html	6a5b21b9cca1b393e4f6d25c1efb82c06215a8e32619ae2c77da261685e3c941	75dfb0c6170b2c716bf0db3315f1622fb363c8a30231f171b8424315b6ddd9fd
ADDED	docs/SYSTEM_ADMIN_USER_GUIDE.md		e040877965dd75297c77dd7ecd3cdd096465167cf6c41d17536d85aa7b98ec17
ADDED	docs/reports/HR_SYSTEM_ADMIN_USABILITY_CLOSURE_2026-09-17.md		c96ceb42393beda86d89ef6955b7fc7addedc58a8a8e6a3a7758dc71852ca741
ADDED	frontend/static/hr/css/hr-admin-center.css		427fd3f3ccaa062fff5d193f9a0ec86a3994da287263b371e8439167f3ed9754
ADDED	frontend/static/hr/js/core/hr-admin-center.js		2584ae73020e6b5cc12012014c4697043ec68e2e80009a24be056e00d2c6328c
MODIFIED	frontend/templates/index.html	9f111cca87b69dfae4e016b2c5f5caa8e8ae6b1f05df8b748f2ce6c75537a46c	183fff377988670cef20ffc3b3b45d6a1ae769ca2acaacc78116e863d3c6b328
ADDED	scripts/check_system_admin_usability_contract.py		566ca2d8331fc2c9f5efd23d4e3c8a5240871488da22b2ddf4b513593b2717b5
ADDED	scripts/system_admin_static_browser.py		fe900490997258e406b1f96d753b11fa7345e0fda2b95e2967f9ecc0afa8e2cc
MODIFIED	tests/artifacts/hr-lifecycle-static/01-HR04.png	c0f378de62e1f45f6a8e0a92d5141a36391518726434aa25280e59305b274739	2b20aa714ef41ebb2b3292a19cad35d76e4be9725b7aa69230b8b071208a5680
MODIFIED	tests/artifacts/hr-lifecycle-static/14-HR18.png	40db19ba940303e0777053fbb85b99ae5fab15228f817f5fb9cb8afe03688370	34af6680556a85d94b636b7051354c39c290edecadac105c182c2564caa622f4
MODIFIED	tests/artifacts/hr-usability-static/hr05-guide-drawer-real-chromium.png	e2c37b8d052d02b143493bfd619d8d686e7fccf4aaa762fee3273e508c3470b0	228f0a6bdb79ace0466401b83364f2d768f6576fb6526e43beaeed2236867cb4
ADDED	tests/artifacts/system-admin-usability/evidence.json		b0733457a4d94160bf56ad6b2ad11f7535ff2401ba4615250b768094000d34df
ADDED	tests/artifacts/system-admin-usability/system-admin-center-real-chromium.png		e91d8341ce5ef61439143e4457bb83b60e1da60644a67c5bf7597f9228c6246a
ADDED	tests/system_admin/test_system_admin_usability_contract.py		8bd04b8782a21d85a5fca8af4ad223d7826579692c9e63bea4bb4d964926bdf7
