module,module_name,page_id,title,kind,route,menu_declared,route_source,handler,backend_status,backend_evidence,integration_action
HR01,人事工作台,R002,人事总览,dashboard,/hr/overview,True,backend/hr_control_center/urls.py,views.hr_overview,PASS,handler present (backend/hr_control_center/views.py),preserve V15 backend; UI-A bridge applies globally
HR01,人事工作台,R003,我的待办,inbox,/hr/todos,True,backend/hr_control_center/urls.py,views.hr_todos,PASS,handler present (backend/hr_control_center/views.py),preserve V15 backend; UI-A bridge applies globally
HR01,人事工作台,R004,人事预警,risks,/hr/alerts,True,backend/hr_control_center/urls.py,views.hr_alerts,PASS,handler present (backend/hr_control_center/views.py),preserve V15 backend; UI-A bridge applies globally
HR01,人事工作台,R005,队伍结构,analytics,/hr/workforce,True,backend/hr_control_center/urls.py,views.hr_workforce,PASS,handler present (backend/hr_control_center/views.py),preserve V15 backend; UI-A bridge applies globally
HR01,人事工作台,R006,快捷办理,services,/hr/actions,True,backend/hr_control_center/urls.py,views.hr_actions,PASS,handler present (backend/hr_control_center/views.py),preserve V15 backend; UI-A bridge applies globally
HR02,组织岗位,R007,组织初始化,setup,/hr/structure/initial-setup/,False,backend/hr_structure/urls.py,initial_structure,STALE_UI_ONLY,handler missing (backend/hr_structure/urls.py),do not re-add: this non-menu prototype page was removed before V15; organizations is the current V15 entry
HR02,组织岗位,R009,组织机构,organization,/hr/structure/organizations,True,backend/hr_structure/urls.py,views.hr_organizations,PASS,handler present (backend/hr_structure/views.py),preserve V15 backend; UI-A bridge applies globally
HR02,组织岗位,R010,党政与业务关系,relations,/hr/structure/relations,True,backend/hr_structure/urls.py,views.hr_structure_workspace,PASS,handler present (backend/hr_structure/views.py),preserve V15 backend; UI-A bridge applies globally
HR02,组织岗位,R011,编制方案,quota,/hr/structure/staffing-plans,True,backend/hr_structure/urls.py,views.hr_structure_workspace,PASS,handler present (backend/hr_structure/views.py),preserve V15 backend; UI-A bridge applies globally
HR02,组织岗位,R012,岗位目录,catalog,/hr/structure/post-catalogs,True,backend/hr_structure/urls.py,views.hr_structure_workspace,PASS,handler present (backend/hr_structure/views.py),preserve V15 backend; UI-A bridge applies globally
HR02,组织岗位,R013,岗位编制台账,positions,/hr/structure/positions,True,backend/hr_structure/urls.py,views.hr_positions,PASS,handler present (backend/hr_structure/views.py),preserve V15 backend; UI-A bridge applies globally
