status	path	baseline_sha256	round5_sha256
MODIFIED	00_CHATGPT_START_HERE.md	5c4a938c6171e3c8d55bb795bcd8ce4c66d9dd39dbd17824702682f00b5285eb	b4a9572e80e6c4ec2bcff3445eba5bd767c01bb3de59ba3017a8d13760ccab30
ADDED	05_ROUND5_START_HERE.md		3b64a0212d0343bb0b7c67ad09a2151a9eba4f2df96467eaf537c2f99826e7a4
ADDED	backend/hr_data/providers/chain_fact_quality.py		eaeebc77a71253f842df1208bc4c1c279decbc2a0d65cad690fe969aa135a52b
MODIFIED	backend/hr_data/providers/formal_facts.py	748d200b37dd184c37dd78186d5e218c4da4e86e685b19542fecbce8a5d2e6f3	816725c1b1ea40e8b548dec5f5e44b37f83a0a16913d875214b5dade30871f5a
MODIFIED	backend/hr_data/services/asof_service.py	c845a619a8a3d9bb59c5dfafd8bac75aaac7c0461dc10a483f44d99be33981a9	63a2f3e4e85e9a9942bf0e6b15dc070ee1d827d6dbf0cf9d2d559dcdcac914bb
MODIFIED	backend/hr_data/services/evaluation_router.py	59a05bf69d36c71923838a9dbeffc91e7a4c17743d4b813485c9deffbc562fcb	ee93bf325d2305fc5a67c5155a1e95e739becadcdd22525ee8ee2f14f13ed1a0
MODIFIED	backend/hr_data/services/formal_fact_chain_service.py	3d8bbd5fce544c87f7f50d9c8dc878de0906a9d37494c1ac02bf96f7daef0d13	f5ccf456a0b57e96e70cc7152f805672998f98da6b3e28aea365f337653ec62d
MODIFIED	backend/hr_data/services/formal_fact_evaluation_service.py	e80fa9a3eb8f040cb5203527d2c2079f95bc97bcc47d9f2c6047277078a239b2	6f968c01b25886c90d52ffd95da50c580a3f5fb671cdfc4292eee4351abae8c2
MODIFIED	backend/hr_data/services/formal_fact_evidence_guard.py	98f30021549a9230690aee59e2f4d4ba8e648e9443648e25b53ebbb1925fef40	02c4e9f74d0e33741161bc184de6177882ba98376e541e0909d79f3cf32883fe
MODIFIED	backend/hr_data/services/operational_snapshot_service.py	125cd8767b22c567d5c5f7b86b8026f8a998a73940f1e40b29d5fcf386b4bc31	c2ebd96f6344103ba371438e2e73fa608ed0921758c5b2cbdc1bf0a4b3c28986
MODIFIED	backend/hr_data/services/quality_runtime_service.py	77bc793f4242b4c051e65f91c7cfbdd394cca01ed5ae4ccb72bf3cfd460e9812	423357ac4f391f988538afbfa160050fefdb8f5ee4b5367756961d3cc744cd17
ADDED	backend/hr_data/tests/test_round5_change_assessment_history.py		186dd8287602027cfd21967ff256e4e1dc1e1d0b133f726e9d8376818ebfb3a5
ADDED	docs/reports/HR_ROUND5_CLOSURE_REPORT_2026-09-15.md		d073ec8115e7775ec28948dcb738d06a55635d0356616f2c2886f457130a3fd7
ADDED	docs/reports/acceptance_evidence/acceptance-latest.json		691ef0edbabd89b6b496eb5c2c25680b71df7cc97b669f890ed599050a4f11f8
MODIFIED	scripts/run_hr_acceptance_gate.py	781fd4862c7c731de48260d10175c384c95ed600597fac6eae021f6922f90f6c	466f8909b7b5a52f987becf52ad6041649dfd0d6414e426103941cb2be47800e
MODIFIED	tests/round4/test_round4_closure_contracts.py	89825d31d645019b404c510c9dd4c586e82a99f7bbb31c414a7a7557e126972f	7d0eb6e9799a74626f944c631b1d651cd53c0dffa1a596dac001de076431c8f6
ADDED	tests/round5/test_round5_closure_contracts.py		f7a6749299554a939dd32f566869078cd08bca5124086fcc97d8041abbb5b5ee
