change	path	size_bytes	sha256
MODIFIED	00_CHATGPT_START_HERE.md	6808	124cc3e3b3c92eacccc072df797e785aa7bf18d36d497d284451fa8485a11371
ADDED	FINAL_ACCEPTANCE_START_HERE.md	4445	ac3be12c8348031a33518628b8ee756e134b9f96022fc8cabed3b3ad95a609ef
MODIFIED	Makefile	5168	bcedeba58a2d05d90a77434753f68aa229ff80742242a3d0f11dd9e1c28e8449
MODIFIED	backend/base/forms.py	116462	c7e4661b1c7b896efe265fd5d4a422f0d3cd0174313c48088bde532c03e7f41f
ADDED	backend/base/management/commands/export_school_initialization_snapshot.py	7330	5345c13a767baa1c98e6d0773f845ff2d6bdfeee9099a7adf7855568b7e049c2
ADDED	backend/base/permission_refs.py	1881	b330905b8cba8342438d26f3f619b6dd708db5d01a3c573fd29fcb7bfaa34f7b
MODIFIED	backend/base/templates/base/auth/group_lines.html	8241	e84e77cce91ed0cec45f9d5865bb6214e032bca851036b97462c75e164e6043c
MODIFIED	backend/base/templates/base/auth/permission_table.html	9375	e9de73deb6ee6fcc721f23fb3facfd2f01fa51c49a484633ad5e6bfa70502f26
MODIFIED	backend/base/templatetags/basefilters.py	14425	59ac6428e3538e543fe11d98ca4471c2bcd1bfd635d4ca8de017385f5751dd1e
MODIFIED	backend/base/urls.py	62940	264fb953f124426a84f3a70b85c93fde4b26f606a48ea2345dc5d8ad0adaed1a
MODIFIED	backend/base/views.py	334680	7ae5443b16fc436f357e9721f7218114d1606b39e1c4a7a84b3bb2781ec778bd
MODIFIED	backend/horilla_theme/templates/base/auth/permission_table.html	24672	9cf024cdb70512616055e64781c606d150a0658d7da26e7d98ca061cd312a009
ADDED	docs/ADMIN_TRAINING_GUIDE.md	1123	1224740f381f8c501d02706bcfe3d2133c3136bdbb1de861e3de018f1d504123
ADDED	docs/OPERATOR_TRAINING_GUIDE.md	1116	d02aa8ebb4376f454face37dc26015444d10e6120617dc1fef7581810c6cf470
MODIFIED	docs/PRODUCTION_RUNBOOK.md	25664	0467c109d7ed3a5629055e0e071b2e779bc73e044c40eeca66194c39ef97ebfd
ADDED	docs/SUPPORT_SLA_PROCUREMENT_BASELINE.md	1463	a0090baca0502d7321143015d85041e3e3d5a93a50d0509c2d6719c8bf932c41
ADDED	docs/USER_MANUAL_HR01_HR18.md	1867	eeb1c75666e96d6ad1c9f00121d4abfbd2eb7223114fd1225509ca9b4f06c10e
ADDED	docs/qa/EXTERNAL_INTEGRATION_ACCEPTANCE_TEMPLATE.json	1070	583c8b728d323db625f1058f0ecb5f15c34dbedc9affc113c2bda36f60fc0f76
ADDED	docs/qa/FINAL_PROCUREMENT_ACCEPTANCE_CHECKLIST.md	2431	cfec13270346e6782da111144a7bcb5420bcbd36c0b1d29341cdd0487ba115c4
ADDED	docs/qa/PROCUREMENT_14_ITEM_CROSSWALK.md	2544	18dbc85f8a5f356748de2eaf29293a99e766c7889c95b4a0bc60b81cdda1ba65
ADDED	docs/qa/REMEDIATION_REGISTER_TEMPLATE.csv	218	b61a1e89e14ef2188a3812caa58382f2abf3030ac5fdf5ee348c735058502b34
ADDED	docs/qa/TRAINING_RECORD_TEMPLATE.csv	402	e3cd657ca137048b89d9b059e885732c5159a8cfc160c33eb7c36e39d8c9c0f2
ADDED	docs/qa/TRIAL_RUN_RECORD_TEMPLATE.json	1212	a106e79f86f54f4ca4869888edec28489d9e524309faad84794b23ca064790e0
ADDED	docs/reports/HR_FINAL_PROCUREMENT_CLOSURE_2026-09-17.md	3677	61ddf3cad8721972fe13e47499c933481f9ba75bd76e23349b2e9477aa73f816
ADDED	scripts/build_procurement_acceptance_package.py	15901	18896f241b6828cf6c5476effb1e05f68223589189cc51042012e4ee54bded1a
ADDED	scripts/check_final_procurement_contract.py	10898	a30317a9e6c9756798cce3a5773738d3544ab686e2dfc461a7360fa72badbf05
MODIFIED	scripts/run_hr_acceptance_gate.py	29715	7c2e50aebaf262ab7fe66a519447fa65a0b4377b979ce06394ef0ed3d527ec61
ADDED	tests/final_acceptance/test_final_procurement_contract.py	10086	9cddb5e6abd4df45b3bf67adea1660b8a0b01a760ea9ebbc86545edb5c08b754
