module,module_name,order,original_label,ui_label,target,conditional,sidebar_target_present,sidebar_ui_label_present
HR01,人事工作台,1,人事总览,人事总览,/hr/overview,False,True,True
HR01,人事工作台,2,我的待办,我的待办,/hr/todos,False,True,True
HR01,人事工作台,3,人事预警,人事预警,/hr/alerts,False,True,True
HR01,人事工作台,4,队伍结构,队伍结构,/hr/workforce,False,True,True
HR01,人事工作台,5,快捷办理,快捷办理,/hr/actions,False,True,True
HR02,组织岗位,1,组织机构,组织机构,/hr/structure/organizations,False,True,True
HR02,组织岗位,2,党政与业务关系,党政与业务关系,/hr/structure/relations,False,True,True
HR02,组织岗位,3,编制方案,编制方案,/hr/structure/staffing-plans,False,True,True
HR02,组织岗位,4,岗位目录,岗位目录,/hr/structure/post-catalogs,False,True,True
HR02,组织岗位,5,岗位编制台账,岗位编制台账,/hr/structure/positions,False,True,True
HR02,组织岗位,6,组织岗位历史,组织岗位历史,/hr/structure/history,False,True,True
HR03,教职工主档,1,教职工名册,教职工名册,/hr/staff/,False,True,True
HR03,教职工主档,2,数据质量,数据质量,/hr/staff/data-quality/,False,True,True
HR04,招聘管理,1,年度用人计划,年度用人计划,/hr/recruitment/plans,False,True,True
HR04,招聘管理,2,招聘项目与岗位,招聘项目与岗位,/hr/recruitment/campaigns,False,True,True
HR04,招聘管理,3,人才库与应聘者,人才库与应聘者,/hr/recruitment/candidates,False,True,True
HR04,招聘管理,4,资格审查,资格审查,/hr/recruitment/qualification,False,True,True
HR04,招聘管理,5,考试面试与考察,考试面试与考察,/hr/recruitment/assessment,False,True,True
HR04,招聘管理,6,录用与人才引进,录用与人才引进,/hr/recruitment/proposed-hires,False,True,True
HR05,入职管理,1,待报到人员,待报到人员,/hr/onboarding/prehires,False,True,True
HR05,入职管理,2,报到登记,报到登记,/hr/onboarding/reporting,False,True,True
HR05,入职管理,3,材料核验,材料核验,/hr/onboarding/materials,False,True,True
HR05,入职管理,4,协同任务,协同任务,/hr/onboarding/collaboration,False,True,True
HR05,入职管理,5,试用与转正,试用与转正,/hr/onboarding/probations,False,True,True
HR06,人事异动,1,异动申请中心,异动申请,/hr/changes/,False,True,True
HR06,人事异动,2,校内调动,校内调动,/hr/changes/transfers,False,True,True
HR06,人事异动,3,岗位与身份变更,岗位与身份变更,/hr/changes/job-identity,False,True,True
HR06,人事异动,4,借调挂职管理,借调挂职,/hr/changes/secondments,False,True,True
HR06,人事异动,5,异动台账,异动台账,/hr/changes/ledger,False,True,True
HR07,合同管理,1,合同台账,合同台账,/hr/contracts/,False,True,True
HR07,合同管理,2,合同模板与规则,合同模板与规则,/hr/contracts/rules/,False,True,True
HR07,合同管理,3,签订与续签,签订与续签,/hr/contracts/signing/,False,True,True
