status	path	baseline_sha256	current_sha256
MODIFIED	.env.dist	0f63206cc911c1d0c2987422128673ec278af039ca28f22989ac8f6fe3030526	951a6f6b45ee6bbb11ee84f6cd299670cf9496797a872bcfc39011e1c9fc95a8
ADDED	SINGLE_SCHOOL_ADMIN_DELIVERY.json		e100c2a24f34f2137fcb536491118ff983357d8690bb7dcc516d7ed6630fdf8f
ADDED	SINGLE_SCHOOL_ADMIN_START_HERE.md		906a3a958bbbc02578e6ee14d717954bcb5b5e06e4db960e0acc71a6a8f2c384
MODIFIED	backend/base/forms.py	c7e4661b1c7b896efe265fd5d4a422f0d3cd0174313c48088bde532c03e7f41f	850dcfbff8c4e21ea547daf47a23a32ad68ddded14f860ce14cdcbe41e2c40aa
ADDED	backend/base/management/commands/check_school_system.py		48fd5b98c42e34bd5b8a9e336e496b380163d4b83b9e33f5615d605727d5eaaa
ADDED	backend/base/system_admin_health.py		07a3e3db9aee94d5d5564d1f50504813726e61e9dfd82aff90e3afa2f578daab
MODIFIED	backend/base/templates/base/settings/system_admin_center.html	ee56a3b1ee95cc8c9972b3ecd9f571313ebbb6d5f41f06c1730d60d17e23fe53	45ab40550e9e2b65c87b9cc5749004873f680f1eaa2c2345b89fdffd0a585036
MODIFIED	backend/base/views.py	2c436de4c988e372c54e7c632e16a5a64eed676507cdd1d15cc1364c785c32c4	c0be8170c20bccaf017ace28dc2d704b4bae85d53760a9e9839e2f37139c34e0
MODIFIED	backend/horilla/settings/base.py	0cf1c95236d42b8f70b76df33d50d8b3c6f88542775e073cc1371bd8eaa146fd	181a99c484cc2c0b47816181dd6532eeed7304f8d6c96d9cd8a0f3657c9a4042
MODIFIED	backend/horilla/urls.py	4360ff9277af805622b205650cf5ea3392cccc7caae0701bf62cd660aea9666f	e51917b04a5a3aeae7aed2f76e79494b1a9148db459f6eb4e980c8027627835e
MODIFIED	backend/platform_access/middleware.py	3dfed2be690c8675ffd8df0b6ce4fe31a6eb73701b91a7253e117c0b11f5faf6	6be41c1c0b0ba80a1b4f8c8d69c84eb4fb08395e02a09e77af5189431387cc70
MODIFIED	backend/platform_access/services.py	df41bf6438a87f515ae6dd3062a35f563cb3f995a17de7e606d720fd4619472d	4b0c8db2f5e118ff9e4f3393382b741e5b8ed7007983ab1fc0193521afae556e
MODIFIED	backend/platform_access/tests.py	8b6cf0bb4a2a15c8b2a6a6258f61a103312e877532624add97d857b0ea41e756	194f155f4eddca321563d88bdfa2f4115b4d21c0e53ef78de9bc41d3aae3f6f0
ADDED	docs/reports/HR_SINGLE_SCHOOL_SYSTEM_ADMIN_PROFESSIONAL_CLOSURE_2026-09-17.md		e7fc096ca7a6e9dba21d77d4605f8e4378a31b59c70e1b582377af263e7a73a4
MODIFIED	frontend/static/hr/css/hr-admin-center.css	427fd3f3ccaa062fff5d193f9a0ec86a3994da287263b371e8439167f3ed9754	9203e4d1549acceda5e8484e66880f58ff2e5a6491a5d4d83676c7bb0b44e1e1
MODIFIED	frontend/static/hr/js/core/hr-admin-center.js	2584ae73020e6b5cc12012014c4697043ec68e2e80009a24be056e00d2c6328c	4c2c3435b675dc796170b1d20319532973f5587ad0658e03f5465935203bf97c
MODIFIED	scripts/system_admin_static_browser.py	fe900490997258e406b1f96d753b11fa7345e0fda2b95e2967f9ecc0afa8e2cc	a842dfba6c1fbd73884fdd2c9e1e82a5a3d6af39e221bfbfe235b7cb7a064bd7
MODIFIED	tests/artifacts/hr-lifecycle-static/01-HR04.png	2b20aa714ef41ebb2b3292a19cad35d76e4be9725b7aa69230b8b071208a5680	c0f378de62e1f45f6a8e0a92d5141a36391518726434aa25280e59305b274739
MODIFIED	tests/artifacts/hr-lifecycle-static/11-HR15.png	7e40cbfeb52c2eeb99a7908352b55dedd612d528d93e4786cca45ad1ef2d3775	fa3b1da536fccc4f361285f8cde3a425d03658502a267ba91ffc072f35f6de29
MODIFIED	tests/artifacts/hr-lifecycle-static/14-HR18.png	34af6680556a85d94b636b7051354c39c290edecadac105c182c2564caa622f4	7507aebbf3be8d030a4c2388928d3b5b9f946ac30c3effbfa65e46bfe1414520
MODIFIED	tests/artifacts/hr-usability-static/hr05-guide-drawer-real-chromium.png	228f0a6bdb79ace0466401b83364f2d768f6576fb6526e43beaeed2236867cb4	4183aa85a207a2570f7795a20e48b218c4639a3aeb9d822632dfe60fddd8c95c
MODIFIED	tests/artifacts/system-admin-usability/evidence.json	b0733457a4d94160bf56ad6b2ad11f7535ff2401ba4615250b768094000d34df	b7e789c1c467436e570c7f465e7b16d70894766033dde66b2d5dc6ae30644032
MODIFIED	tests/artifacts/system-admin-usability/system-admin-center-real-chromium.png	e91d8341ce5ef61439143e4457bb83b60e1da60644a67c5bf7597f9228c6246a	b12e7e094ff1ea91c6aa8ebf8a95c577bda8bfaac8ac29308d8b9e3b13093d67
ADDED	tests/system_admin/test_single_school_professional_contract.py		d85c14c7ba7bd9ba0bd8ef0f5693ec58e6d6b07ec3a478fe23f17d332782cba9
